cdm_id,fy1c_norad_id,other_norad_id,other_name,other_type,miss_distance_km,collision_probability,fy_perigee,fy_apogee,fy_inclination,other_perigee,other_apogee,other_inclination,other_country
1400705670,47007,41045,NOAA 16 DEB,DEBRIS,31.0,0.0001480517,728.257,1069.401,98.2022,832.712,853.218,98.4515,US
1400690259,30315,39632,DMSP 5D-3 F19 DEB,DEBRIS,137.0,0.001022894,803.31,852.282,98.5985,802.093,807.56,98.6643,US
1401930016,30315,39632,DMSP 5D-3 F19 DEB,DEBRIS,1.0,0.003421283,803.31,852.282,98.5985,802.093,807.56,98.6643,US
1401423409,30315,39632,DMSP 5D-3 F19 DEB,DEBRIS,17.0,0.001805691,803.31,852.282,98.5985,802.093,807.56,98.6643,US
1401426206,30606,41060,NOAA 16 DEB,DEBRIS,92.0,0.000250288,547.569,845.199,98.091,705.594,815.207,98.9622,US
1401932690,30606,41060,NOAA 16 DEB,DEBRIS,225.0,0.0001637426,547.569,845.199,98.091,705.594,815.207,98.9622,US
1400693063,30606,41060,NOAA 16 DEB,DEBRIS,209.0,0.0001794529,547.569,845.199,98.091,705.594,815.207,98.9622,US
1401891508,31948,62237,CZ-6A R/B,ROCKET BODY,327.0,0.0001137572,778.543,809.422,99.38,648.918,790.211,89.039,PRC
1399568525,31071,34387,COSMOS 2251 DEB,DEBRIS,239.0,0.0001635434,673.576,751.867,99.0294,717.623,771.746,74.0396,CIS
1402487183,31235,85004,UNKNOWN,UNKNOWN,212.0,0.0002562303,702.825,934.04,98.4595,719.33,787.958,98.4415,
1401888575,31235,85004,UNKNOWN,UNKNOWN,273.0,0.0002613946,702.825,934.04,98.4595,719.33,787.958,98.4415,
1400058411,31235,85004,UNKNOWN,UNKNOWN,426.0,0.0004894352,702.825,934.04,98.4595,719.33,787.958,98.4415,
1401408125,31235,85004,UNKNOWN,UNKNOWN,501.0,0.0003111888,702.825,934.04,98.4595,719.33,787.958,98.4415,
1400675234,31235,85004,UNKNOWN,UNKNOWN,679.0,0.000174704,702.825,934.04,98.4595,719.33,787.958,98.4415,
1399037822,38137,61421,CZ-6A DEB,DEBRIS,197.0,0.0001648226,838.696,905.429,98.8422,783.645,877.246,89.1452,PRC
1403508971,31535,13801,COSMOS 1275 DEB,DEBRIS,319.0,0.0001029111,732.533,859.012,98.0284,788.592,856.045,82.7976,CIS
1403516864,32324,36336,METEOR 2-8 DEB,DEBRIS,106.0,0.0001219764,825.686,896.963,99.5377,819.379,832.299,82.5314,CIS
1403002880,32324,36336,METEOR 2-8 DEB,DEBRIS,134.0,0.0001059435,825.686,896.963,99.5377,819.379,832.299,82.5314,CIS
1402496209,32324,36336,METEOR 2-8 DEB,DEBRIS,155.0,0.0001123737,825.686,896.963,99.5377,819.379,832.299,82.5314,CIS
1401898334,32324,36336,METEOR 2-8 DEB,DEBRIS,148.0,0.0001114848,825.686,896.963,99.5377,819.379,832.299,82.5314,CIS
1400058943,31420,16969,NOAA 10,PAYLOAD,816.0,0.0001862583,658.878,849.287,97.5452,785.105,803.943,98.7029,US
1399565722,29976,26063,OPAL,PAYLOAD,729.0,0.000471367,704.837,1094.603,98.9251,739.504,791.063,100.1902,US
1400055207,29976,26063,OPAL,PAYLOAD,680.0,0.0003492706,704.837,1094.603,98.9251,739.504,791.063,100.1902,US
1401407595,31049,20890,CZ-4 DEB,DEBRIS,275.0,0.0001264462,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1402486692,31049,20890,CZ-4 DEB,DEBRIS,253.0,0.0001522365,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1401888063,31049,20890,CZ-4 DEB,DEBRIS,247.0,0.0001485831,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1404345832,31049,20890,CZ-4 DEB,DEBRIS,243.0,0.0001749786,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1402993543,31049,20890,CZ-4 DEB,DEBRIS,254.0,0.0001621689,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1400674708,31049,20890,CZ-4 DEB,DEBRIS,215.0,0.0001279244,842.222,915.194,98.8037,859.824,878.166,98.935,PRC
1399566088,30115,118,THOR ABLESTAR R/B,ROCKET BODY,737.0,0.0002434867,776.164,871.844,98.6054,820.115,948.661,66.7623,US
1400055586,30115,118,THOR ABLESTAR R/B,ROCKET BODY,668.0,0.000243828,776.164,871.844,98.6054,820.115,948.661,66.7623,US
1400672211,30115,118,THOR ABLESTAR R/B,ROCKET BODY,498.0,0.0002170977,776.164,871.844,98.6054,820.115,948.661,66.7623,US
1400671915,30023,61815,CZ-6A DEB,DEBRIS,941.0,0.0001083956,818.241,886.151,99.2893,793.463,868.049,89.0272,PRC
1406227174,32223,29841,FENGYUN 1C DEB,DEBRIS,108.0,0.0002042972,786.65,851.509,98.8278,594.513,876.375,98.839,PRC
1405479578,32223,29841,FENGYUN 1C DEB,DEBRIS,88.0,0.0002054042,786.65,851.509,98.8278,594.513,876.375,98.839,PRC
1405010054,32223,29841,FENGYUN 1C DEB,DEBRIS,53.0,0.000160272,786.65,851.509,98.8278,594.513,876.375,98.839,PRC
1404348801,32223,29841,FENGYUN 1C DEB,DEBRIS,77.0,0.0001397075,786.65,851.509,98.8278,594.513,876.375,98.839,PRC
1406887685,29975,34346,COSMOS 2251 DEB,DEBRIS,384.0,0.0001230308,817.992,982.809,99.3151,740.487,1045.695,73.9941,CIS
1406229653,29975,34346,COSMOS 2251 DEB,DEBRIS,393.0,0.000122928,817.992,982.809,99.3151,740.487,1045.695,73.9941,CIS
1405482043,29975,34346,COSMOS 2251 DEB,DEBRIS,362.0,0.0001291008,817.992,982.809,99.3151,740.487,1045.695,73.9941,CIS
